,index,epoch,low,high,open,close,volume,date
67,232,1623640500,38857.24,38996.13,38872.33,38865.46,80.16686488,2021-06-14 03:15:00
68,231,1623641400,38744.83,38961.59,38865.47,38762.74,107.11873132,2021-06-14 03:30:00
69,230,1623642300,38764.61,39071.67,38764.61,38986.21,106.72849247,2021-06-14 03:45:00
70,229,1623643200,38800.69,39009.54,38986.21,38822.33,90.77958421,2021-06-14 04:00:00
71,228,1623644100,38824.66,39269.01,38824.99,39175.61,209.82097365,2021-06-14 04:15:00
72,227,1623645000,39119.26,39359.22,39175.26,39307.05,82.32032821,2021-06-14 04:30:00
73,226,1623645900,39207.89,39357.98,39311.09,39283.74,100.09057375,2021-06-14 04:45:00
74,225,1623646800,39148.83,39399.99,39283.74,39396.33,137.14734976,2021-06-14 05:00:00
75,224,1623647700,39274.39,39419.72,39388.27,39419.72,74.87737015,2021-06-14 05:15:00
76,223,1623648600,39400.0,39600.0,39419.71,39445.32,166.16863524,2021-06-14 05:30:00
77,222,1623649500,39424.16,39616.33,39445.31,39428.11,102.27468037,2021-06-14 05:45:00
78,221,1623650400,39251.27,39529.78,39429.09,39258.01,204.06691347,2021-06-14 06:00:00
79,220,1623651300,39189.05,39421.91,39260.37,39317.96,79.43172484,2021-06-14 06:15:00
80,219,1623652200,39202.73,39368.0,39307.09,39323.94,59.14647738,2021-06-14 06:30:00
81,218,1623653100,39291.03,39708.0,39324.23,39605.71,191.13454173,2021-06-14 06:45:00
82,217,1623654000,39493.71,39699.98,39605.71,39507.66,136.2606498,2021-06-14 07:00:00
83,216,1623654900,39485.18,39653.39,39509.7,39629.15,92.75497002,2021-06-14 07:15:00
84,215,1623655800,39546.69,39667.72,39625.35,39622.25,111.49910559,2021-06-14 07:30:00
85,214,1623656700,39466.94,39622.25,39622.25,39564.29,74.26608645,2021-06-14 07:45:00
86,213,1623657600,39134.56,39641.32,39564.3,39161.79,245.31364184,2021-06-14 08:00:00
87,212,1623658500,39000.0,39265.38,39161.8,39186.32,131.38020751,2021-06-14 08:15:00
88,211,1623659400,39106.98,39307.93,39186.4,39118.58,131.14500286,2021-06-14 08:30:00
89,210,1623660300,38928.57,39185.0,39121.39,39020.64,134.22888034,2021-06-14 08:45:00
90,209,1623661200,38983.63,39171.32,39020.64,39100.0,103.77001433,2021-06-14 09:00:00
91,208,1623662100,39045.97,39411.67,39099.99,39198.36,195.10904029,2021-06-14 09:15:00
92,207,1623663000,39061.32,39250.0,39198.36,39147.01,76.46515008,2021-06-14 09:30:00
93,206,1623663900,39055.64,39227.5,39151.55,39091.06,104.54361657,2021-06-14 09:45:00
94,205,1623664800,39038.44,39191.4,39091.06,39165.01,107.16508954,2021-06-14 10:00:00
95,204,1623665700,39134.9,39241.0,39165.01,39191.06,145.34382645,2021-06-14 10:15:00
96,203,1623666600,39117.49,39284.96,39191.27,39252.41,123.73379225,2021-06-14 10:30:00
97,202,1623667500,39252.41,39396.68,39252.42,39338.44,134.41184738,2021-06-14 10:45:00
98,201,1623668400,39300.62,39439.0,39338.43,39341.69,74.23034618,2021-06-14 11:00:00
99,200,1623669300,39154.31,39344.79,39344.79,39198.88,88.17002482,2021-06-14 11:15:00
100,199,1623670200,39129.07,39222.0,39198.88,39165.78,91.08607333,2021-06-14 11:30:00
101,198,1623671100,39161.6,39271.69,39165.78,39166.15,108.8511677,2021-06-14 11:45:00
102,197,1623672000,39064.95,39186.52,39166.16,39107.29,238.49023335,2021-06-14 12:00:00
103,196,1623672900,39041.17,39331.16,39107.29,39270.36,254.84193588,2021-06-14 12:15:00
104,195,1623673800,39233.46,39566.0,39273.45,39490.91,220.42700968,2021-06-14 12:30:00
105,194,1623674700,39433.48,39625.58,39490.08,39600.0,289.30267205,2021-06-14 12:45:00
106,193,1623675600,39553.45,40480.0,39600.0,40480.0,1405.67889948,2021-06-14 13:00:00
107,192,1623676500,40264.83,40664.0,40480.0,40518.02,775.45351854,2021-06-14 13:15:00
108,191,1623677400,40379.72,40813.97,40521.56,40777.04,698.55829525,2021-06-14 13:30:00
109,190,1623678300,40459.33,40787.96,40777.04,40550.0,428.03072438,2021-06-14 13:45:00
110,189,1623679200,40402.83,40750.0,40549.99,40675.1,323.7798146,2021-06-14 14:00:00
111,188,1623680100,40669.0,41076.03,40672.06,40965.69,663.64562358,2021-06-14 14:15:00
112,187,1623681000,40733.28,41057.71,40965.7,40821.86,369.16546689,2021-06-14 14:30:00
113,186,1623681900,40494.75,40910.45,40821.86,40565.2,351.51823439,2021-06-14 14:45:00
114,185,1623682800,40450.0,40650.88,40559.67,40557.5,295.15642139,2021-06-14 15:00:00
115,184,1623683700,40544.43,40747.96,40557.49,40598.01,248.7705613,2021-06-14 15:15:00
